245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
The sophistic Roman :	"education and status in Quintilian, Tacitus and Pliny /"	Brandon F. Jones.	"Jones, Brandon F.,author.http://www.wikidata.org/entity/Q107155265"	Q107155265	Ph. D.	University of Washington	2015	151217t20152015wau\\\\\obm\\s000\0\eng\d	1 online resource (207 pages)	"Gowing, Alain M.,1953-degree supervisor.http://www.wikidata.org/entity/Q102121137"	/Q102121137	http://hdl.handle.net/1773/33678	932541696
All Italy an orchard :	landscape and the state in Varro's de Re Rustica /	Jessica Kapteyn.	"Kapteyn, Jessica,author.http://www.wikidata.org/entity/Q107266277"	Q107266277	Ph. D.	University of Washington	2015	150529t20152015wau\\\\\obm\\s000\0\eng\d	"1 online resource (iii, 217 pages)"	"Stroup, Sarah Culpepper,1967-degree supervisor.http://www.wikidata.org/entity/Q103830863"	Q103830863	http://hdl.handle.net/1773/33128	910340012
Leaving Rome :	alienation from and attachment to the city in Augustan literature /	Alexandra Kennedy.	"Kennedy, Alexandra,1983-author."		Ph. D.	University of Washington	2013	140424t20132013wau\\\\\obdm\\000\0\eng\d	1 online resource (232 pages)	"Gowing, Alain M.,1953-degree supervisor.http://www.wikidata.org/entity/Q102121137"	Q102121137	http://hdl.handle.net/1773/23385	878079566
The fugitive :	murder and exile in the age of heroes /	Eunice Seungyeon Kim.	"Kim, Eunice Seungyeon,author.http://www.wikidata.org/entity/Q107256809"	Q107256809	Ph. D.	University of Washington	2017	171218t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 196 pages) :"	"Levaniouk, Olga,1971-degree supervisor.http://www.wikidata.org/entity/Q90070146"	Q90070146	http://hdl.handle.net/1773/40532	1015727238
Narrative structure and the paradoxes of character in Aeneid 7-12 /		by Dennis R. Lamb.	"Lamb, Dennis R.,author."		Ph. D.	University of Washington	1988	890301s1988\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 246 leaves"				19283672
Written on running water :	Ovidian poetics in the Roman waterscape /	Bridget Alice Langley.	"Langley, Bridget Alice,author.http://www.wikidata.org/entity/Q107182986"	Q107182986	Ph. D.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (vii, 298 pages) :"	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/36540	956509485
Augustan ideology in Livy's first Pentad /		by Edwin Tyler Lansford.	"Lansford, Edwin Tyler."		Ph. D.	University of Washington	1992	921116s1992\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 162 leaves"				26982548
Contradiction and authority in Gorgias /		Bradley Morgan Levett.	"Levett, Bradley Morgan,1970-"		Ph. D.	University of Washington	2002	030422s2002\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 249 leaves"			http://hdl.handle.net/1773/11460;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3072108	52104133
Representations of women in Theocritus /		Marilyn Schron Likosky.	"Likosky, Marilyn Schron."		Ph. D.	University of Washington	2007	080208s2007\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 205 leaves"			http://hdl.handle.net/1773/11453;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3275887	191888785
The nature of predication in Parmenides /		Nicholas C. Maki.	"Maki, Nicholas C.,author.http://www.wikidata.org/entity/Q107267775"	Q107267775	M.A.	University of Washington	2014	141208t20142014wau\\\\\obm\\s000\0\eng\d	1 online resource (49 pages)	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/26268	897756600
