245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
The structure and origin of two low molecular weight lignin sulfonates /		by Siegfried Wolfram Schubert.	"Schubert, Siegfried Wolfram."		Ph. D.	University of Washington	1960	951128s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 128 leaves :"			33811909
"Longitudinal mixing and holdup studies in a pulsed sieve-plate solvent extraction column,"		by George Albert Sehmel.	"Sehmel, George Albert,1932-"		Ph. D.	University of Washington	1961	960425s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	149 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6106651	34631769
"Factors affecting the formation of a continuous or dispersed phase in a stirred two-phase liquid system,"		by Alan Herman Selker.	"Selker, Alan Herman."		M.S. in Chem. E.	University of Washington	1962	960425s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	71 leaves			34631780
The distribution of thermal neutrons in the biological shield of the University of Washington nuclear reactor.			"Sheff, James Robert,1936-"		M.S. in E.	University of Washington		890607s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	90 leaves			19829086
Control studies for the University of Washington training reactor.			"Smith, Joseph Harold."		M.S. in E.	University of Washington		890607s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	179 leaves			19829206
An experiment on turbulent flow in a pipe with a flexible wall.			"Smith, Larry LaCross."		M.S. in Chem. E.	University of Washington		890602s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	37 leaves			19805419
Mass transfer studies in a pulsed extraction column.			"Smoot, L. Douglas(Leon Douglas)"	Q23771634	Ph. D.	University of Washington		890531s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	208 leaves			19789851
Equilibrium in the vapor phase esterification of ethyl alcohol and acetic acid to ethyl acetate as catalyzed by ion exchange resin.			"Stewart, John Mauger."		M.S. in Chem. Eng.	University of Washington		890706s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	102 leaves			19968150
A boron-trifluoride nuclear reactor oscillator for the University of Washington teaching reactor.			"Uffmann, George William."		M.S. in E.	University of Washington		890713s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	49 leaves			20001183
Interfacial phenomena in free drops.			"Valentine, Ralph Schuyler,1932-"		Ph. D.	University of Washington		890724s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	132 leaves			20055551
A study of slip ratios for the flow of steam-water mixtures at high void fractions.			"Vance, William Harrison,1934-"		Ph. D.	University of Washington		890724s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	190 leaves			20057679
