245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Improving the expression of secretory and membrane proteins in Escherichia coli through folding pathway engineering /		Brent L. Nannenga.	"Nannenga, Brent L."		Ph. D.	University of Washington	2011	120703s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 170 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501677	798120323
Engineering the multi-length scale structure of self-assembled conjugated polymer networks /		Gregory Matthew Newbloom.	"Newbloom, Gregory Matthew,author."		Ph. D.	University of Washington	2014	141209t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 252 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/26503	897839840
Immunogenicity of gold nanoshell/silica core nanoplasmonics and photothermal induced-cell death /		Hai T. Nguyen.	"Nguyen, Hai T."		Ph. D.	University of Washington	2012	140326s2012\\\\xx\a\\\\obm\\\000\0\eng\d	"1 online resource (vi, 126 pages) :"	"Shen, Hong,1972-thesis advisor."	http://hdl.handle.net/1773/22544;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3552715	874847409
Developing low fouling peptides and zwitterionic materials for biomedical applications /		Ann K. Nowinski.	"Nowinski, Ann K.,author."		Ph. D.	University of Washington	2015	150610t20152015waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 155 pages) :"	"Jiang, Shaoyi,degree supervisor."	http://hdl.handle.net/1773/33068	910923082
Tailoring polymer micro-extraction phases to enhance the sensitivity and selectivity of raman spectroscopy /		Ikechukwu Nwaneshiudu.	"Nwaneshiudu, Ikechukwu,author."		Ph. D.	University of Washington	2013	140616t20132013waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 112 pages) :"	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/24171	881434225
Engineering protein electrophoresis through surfactant design /		Mónica Ospinal Jiménez.	"Ospinal Jiménez, Mónica,author."		Ph. D.	University of Washington	2013	140616t20132013waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 172 pages) :"	"Pozzo, Danilo C.,degree supervisor."	http://hdl.handle.net/1773/24169	881434188
Studies of organic semiconductor nanostructures and their photovoltaic applications /		Guoqiang Ren.	"Ren, Guoqiang,1982-author."		Ph. D.	University of Washington	2013	140428t20132013waua\\\\od\\\\000\0\eng\d	"1 online resource (xiv, 190 pages) :"	"Jenekhe, Samson A.,degree supervisor."	http://hdl.handle.net/1773/23442	878462029
Structural characterization of composite thin-film and dispersed phase conjugated polymer/fullerene composites /		Jeffrey John Richards.	"Richards, Jeffrey John,author."		Ph. D.	University of Washington	2014	150204t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 179 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/26169	902749844
Studies of pyrite FeS₂ nanocrystals and plasmonic nanostructures for low cost and high efficiency inverted bulk heterojunction photovoltaic cells /		Beau J. Richardson.	"Richardson, Beau J.,author."		Ph. D.	University of Washington	2015	151216t20152015waua\\\\obm\\s000\0\eng\d	"1 online resource (xvi, 145 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/33641	932359124
Chemical analysis of cells and tissues with time-of-flight secondary ion mass spectrometry /		Michael A. Robinson.	"Robinson, Michael A.,1985-author."		Ph. D.	University of Washington	2013	140616t20132013waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 223 pages) :"	"Castner, David Gordon,degree supervisor."	http://hdl.handle.net/1773/24172	881434177
Improvement of mechanical properties of polymeric composites /		Benjamin H. Rutz.	"Rutz, Benjamin H.,author."		Ph. D.	University of Washington	2014	140916t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 161 pages) :"	"Berg, John C.,1937-degree supervisor."	http://hdl.handle.net/1773/25367	890665632
Manipulation of colloidal aggregation phenomena /		Saran Poovarodom.	Saran Poovarodom.		Ph. D.	University of Washington	2010	110414s2010\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 158 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431647	712654226
Integrating top-down and bottom-up nanomanufacturing :	design of nucleation and growth processes from electrolytes /	Sathana Kitayaporn.	Sathana Kitayaporn.		Ph. D.	University of Washington	2011	120214s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 118 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485511	776712387
Understanding properties of zwitterionic materials from their molecular structures /		Qing Shao.	"Shao, Qing,1981-author."		Ph. D.	University of Washington	2014	140916t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 147 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/25365	890665148
Thermodynamics and kinetics of elementary surface reaction steps in catalysis by single crystal adsorption calorimetry /		Trent L. Silbaugh.	"Silbaugh, Trent L.,1986-author."		Ph. D.	University of Washington	2014	141216t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (xiii, 202 pages) :"	"Campbell, Charles T.,degree supervisor.http://www.wikidata.org/entity/Q87687429"	http://hdl.handle.net/1773/26501	898189921
Development of a novel carbon fixation pathway enabled by protein engineering /		Amanda Lee Smith.	"Smith, Amanda Lee,1986-author."		Ph. D.	University of Washington	2015	151216t20152015waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 148 pages) :"	"Lidstrom, Mary E.,degree supervisor."	http://hdl.handle.net/1773/33639	932358459
Electro-catalytic reforming of ethylene glycol /		Kurt Augustus Spies.	"Spies, Kurt Augustus."		Ph. D.	University of Washington	2012	140326s2012\\\\xx\ab\\\obm\\\000\0\eng\d	"1 online resource (viii, 124 pages) :"	"Stuve, Eric Michael,thesis advisor."	http://hdl.handle.net/1773/22545	874849311
Correlation of compositional and structural properties of mineral nanocomposites with the gene transfer efficiency and immunostimulatory effects /		Bingbing Sun.	"Sun, Bingbing."		Ph. D.	University of Washington	2011	120426s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 172 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485575	789673005
Functionalization and characterization of gold nanoparticles /		Sirnegeda D. Techane.	"Techane, Sirnegeda D."		Ph. D.	University of Washington	2011	120123s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 153 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472316	773625351
Controlling intracellular antigen trafficking with synthetic nanoparticles /		Kenny Kynam Tran.	"Tran, Kenny Kynam."		Ph. D.	University of Washington	2011	110901s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 137 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452722	748706672
Dip-pen nanolithography for template-directed organization :	"polymer thin films, positive resists, engineered polypeptides, and electrochemical synthesis /"	Joseph Hung-chi Wei.	"Wei, Joseph Hung-chi."		Ph. D.	University of Washington	2009	091110s2009\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 109 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3356673	464681675
Structure-function relationships of self-assembled fibrillar gels /		Kathleen M. Weigandt.	"Weigandt, Kathleen M."		Ph. D.	University of Washington	2012	130814s2012\\\\xx\a\\\\obm\\\000\0\eng\d	"1 online resource (viii, [204] pages) :"	"Pozzo, Danilo C.,thesis advisor."	http://hdl.handle.net/1773/21832	855796994
Modeling nonspecific interactions at biological interfaces /		Andrew D. White.	"White, Andrew D.,1987-author."		Ph. D.	University of Washington	2013	140428t20132013waua\\\\od\\\\000\0\eng\d	"1 online resource (vi, 168 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/23441	878460500
Energetics of elementary steps in catalysis and their use to search for new catalysts /		Christopher A. Wolcott.	"Wolcott, Christopher A.,author."		Ph. D.	University of Washington	2014	150407t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (xiv, 162 pages) :"	"Campbell, Charles T.,degree supervisor.http://www.wikidata.org/entity/Q87687429"	http://hdl.handle.net/1773/27431	906739065
New polymer semiconductors for organic electronics /		Pei-Tzu Wu.	"Wu, Pei-Tzu,1979-"		Ph. D.	University of Washington	2010	110609s2010\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 199 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431630	729758014
Particle fabrication and delivery systems for controlled release of bumped kinase inhibitors (BKIs) for malaria transmission blocking /		Christina S. Yacoob.	"Yacoob, Christina S."		Ph. D.	University of Washington	2013	140415s2013\\\\xx\a\\\\obm\\\000\0\eng\d	1 online resource (157 pages) :	"Shen, Hong,1972-thesis advisor."	http://hdl.handle.net/1773/22876;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563277	876748450
Zwitterionic poly(carboxybetaine) materials for blood-contacting medical devices and nanoparticles /		Wei Yang.	"Yang, Wei,1980-author."		Ph. D.	University of Washington	2014	141219t20142014waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 141 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/26502	898363688
Engineering blend particle delivery platform for subunit vaccines against mucosally transmitted viral infections /		Xi Zhan.	"Zhan, Xi,1988-author."		Ph. D.	University of Washington	2014	150304t20142014waua\\\\obm\\s000\0\eng\d	1 online resource (147 pages) :	"Shen, Hong,1972-degree supervisor."	http://hdl.handle.net/1773/26166	904351748
Zwitterionic polymers and their derivatives as drug and gene delivery carriers and implantable materials /		Lei Zhang.	"Zhang, Lei,1980 August 15-"		Ph. D.	University of Washington	2012	130107s2012\\\\xx\a\\\\obm\\\000\0\eng\d	"1 online resource (v, 149 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/20846	823537823
Signal peptide and chaperone engineering for secretion and excretion in Escherichia coli /		Weiran Zhang.	"Zhang, Weiran,1987-author."		Ph. D.	University of Washington	2015	151217t20152015waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 133 pages) :"	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/33647	932530010
"Efficient, low-cost organic-inorganic hybrid solar cells via materials, interface, and device structure design /"		Leize Zhu.	"Zhu, Leize,author."		Ph. D.	University of Washington	2015	160404t20152015waua\\\\obm\\s000\0\eng\d	"1 online resource (xviii, 158 pages, III) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/35146	945931629
Implementation of electrochemical impedance spectroscopy on the mobile phone /		Changlong Zou.	"Zou, Changlong,author."		M.S.	University of Washington	2015	151217t20152015waua\\\\obm\\s000\0\eng\d	1 online resource (68 pages) :	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/33643	932529678
Spatiotemporally resolved proteomics and dynamic biomaterial control through bioorthogonal photochemistry /		Steven M. Adelmund.	"Adelmund, Steven M.,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (173 pages in various pagings) :	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/44744	1128832580
Mixed-charge copolymer as environmentally friendly low fouling marine coatings /		Jia-Ruey Ai.	"Ai, Jia-Ruey,author."		M.S. Ch. E.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 21 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/36523	956509051
Afffinity tag excision strategies for Car9-tagged proteins /		Kannan Aravagiri.	"Aravagiri, Kannan,author."		M.S.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	1 online resource (48 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/36521	956508152
PyMolSAR :	a Python-based toolkit to predict the activity and property of small molecules /	Rahul Avadhoot.	"Avadhoot, Rahul,author."		M.S. Ch. E.	University of Washington	2018	180706t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 27 pages) :"	"Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/41746	1043359957
Logical control over biomaterial properties through Boolean responsive linkers /		Barry Alick Badeau.	"Badeau, Barry Alick,author."		Ph. D.	University of Washington	2019	190515t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 210 pages) :"	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/43645	1101195915
Developing zwitterionic hydrogel for biomedical applications /		Tao Bai.	"Bai, Tao,1989-author."		Ph. D.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (vii, 198 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/39977	1004309351
Ionic liquid design using molecular simulation and statistical methods /		Wesley A. Beckner.	"Beckner, Wesley A.,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (97 pages) :	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/44742	1128832926
Characterization and degradation of fatty acid methyl esters and biodiesel in artificial seawater under UV exposure using Raman spectroscopy /		Julie E. Blanchfield.	"Blanchfield, Julie E.,author."		M.S. Ch. E.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 96 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/36524	956508277
Point-­of-­care nucleic acid diagnostics using isotachophoresis and isothermal amplification /		Mark D. Borysiak.	"Borysiak, Mark D.,author."		Ph. D.	University of Washington	2016	161130t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (vii, 159 pages) :"	"Posner, Jonathan Dov,degree supervisor."	http://hdl.handle.net/1773/37050	964633570
Optoelectronic quality and stability of hybrid perovskites determined by steady-state luminescence techniques /		Ian L. Braly.	"Braly, Ian L.,author."		Ph. D.	University of Washington	2018	190130t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xx, 142 pages) :"	"Hillhouse, Hugh W.,1972-degree supervisor."	http://hdl.handle.net/1773/42994	1083644030
Remote control electrodeposition :	patterning on substrates without direct electrical connections /	Trevor M. Braun.	"Braun, Trevor M.,author."		Ph. D.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 164 pages) :"	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/36525	956508273
Adhesion and interphase properties of reinforced polymeric composites /		Kyle Bernd Caldwell.	"Caldwell, Kyle Bernd,1988-author."		Ph. D.	University of Washington	2017	180501t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xvii, 113 pages) :"	"Berg, John C.,1937-degree supervisor."	http://hdl.handle.net/1773/40856	1033544303
Bioinspired anti-fouling coating on hydrophobic surfaces /		Xinran Che.	"Che, Xinran,author."		M.S.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	1 online resource (37 pages)	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920;Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/36522	956508187
Curcumin-loaded polymeric nanoparticles for neuroprotection in neonatal rats with Hypoxic-Ischemic Encephalopathy (HIE) /		Chih-Chung Chen.	"Chen, Chih-Chung,1991-author."		M.S. Ch. E.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 78 pages) :"	"Nance, Elizabeth,1985-degree supervisor."	http://hdl.handle.net/1773/39976	1004309269
Earth-abundant thin-film devices for photovoltaic and electrochemical applications /		James Allan Clark.	"Clark, James Allan,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xiv, 106 pages) :"	"Hillhouse, Hugh W.,1972-degree supervisor."	http://hdl.handle.net/1773/44091	1117715429
"Hunt for a genetically engineered, rationally designed, stealth peptide to prevent non-specific protein interactions /"		Trevor J. Corrigan.	"Corrigan, Trevor J.,author."		M.S. Ch. E.	University of Washington	2018	181129t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 37 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/42232	1076552857
Laser-induced heat and momentum transfer in nanostructure processing /		Matthew J. Crane.	"Crane, Matthew J.,author."		Ph. D.	University of Washington	2017	180627t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xiv, 118 pages) :"	"Pauzauskie, Peter John,degree supervisor."	http://hdl.handle.net/1773/41685	1042088329
Trajectory features as surrogate measures of the nanoparticle-microenvironment interaction space /		Chad Curtis.	"Curtis, Chad,1990-author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 150 pages) :"	"Nance, Elizabeth,1985-degree supervisor."	http://hdl.handle.net/1773/44740	1128832851
The role of data science in numerical modeling of lithium ion batteries /		Neal Dawson-Elli.	"Dawson-Elli, Neal,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (vii, 134 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/44093	1117715528
Tuning work function and conductivity of methylhydroxyl functionalized PEDOT-MeOH:PSS as a hole transport material for perovskite solar cells /		Hao Dong.	"Dong, Hao,1994-author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 66 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/44098	1117715721
Selective labeling of single-walled carbon nanotubes using solid binding proteins /		Sonja June Glaser Dunakey.	"Dunakey, Sonja June Glaser,author."		M.S.	University of Washington	2018	180706t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (34 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/41748	1043360307
Spectral photoresponse tuning and enhancement in organic ultraviolet photodetectors through active layer optimization and plasmonic nanostructures /		Monica R. Esopi.	"Esopi, Monica R.,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xvi, 181 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/44743	1128832615
Review of capacity fade models for lithium-ion batteries :	effect of mechanisms on numerical implementation /	Mengdi Fan.	"Fan, Mengdi,author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 37 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/42227	1077480645
Contributing to the development of the metadynamics methodology for studying chemical reactions /		Christopher D. Fu.	"Fu, Christopher D.,author."		Ph. D.	University of Washington	2019	190515t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (191 pages) :	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/43646	1101196006
Metabolic flux analysis and metabolomics of methylotrophs /		Yanfen Fu.	"Fu, Yanfen,1986-author."		Ph. D.	University of Washington	2016	170405t20162016waua\\\\obm\\s000\0\eng\d	1 online resource (89 pages) :	"Lidstrom, Mary E.,degree supervisor."	http://hdl.handle.net/1773/38082	981494113
Improved performance in plasmonic biosensors for bacterial detection through dielectric conditioning and dielectrophoretic enhancement /		Daniel David Galvan II.	"Galvan, Daniel David,II,author."		Ph. D.	University of Washington	2018	190130t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xxi, 151 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/42993	1083644099
Logic-based delivery of site-specifically-modified proteins from gels through engineered biomacromolecular architecture /		Prathamesh Milind Gawade.	"Gawade, Prathamesh Milind,author."		M.S. Ch. E.	University of Washington	2016	161130t20162016waua\\\\obm\\s000\0\eng\d	1 online resource (57 pages) :	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/37054	964633534
Development of a promising methanotrophic bacterium as an industrial biocatalyst /		Alexey Gilman.	"Gilman, Alexey,author."		Ph. D.	University of Washington	2017	170918t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (92 pages) :	"Lidstrom, Mary E.,degree supervisor.;Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/39973	1004241009
Developing a visualization tool for unsupervised machine learning techniques on *omics data /		Jiayuan Guo.	"Guo, Jiayuan,1995-author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (22 pages) :	"Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/42224	1077480470
Combining surface analytical and computational techniques to investigate orientation effects of immobilized proteins /		Elisa Turla Harrison.	"Harrison, Elisa Turla,author."		Ph. D.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 93 pages) :"	"Castner, David Gordon,degree supervisor.;Interlandi, Gianluca,degree supervisor."	http://hdl.handle.net/1773/39979	1004309348
Correlating solid-binding peptide structure with biomimetic function /		Brittney Hellner.	"Hellner, Brittney,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (142 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/44095	1117715398
Computational approaches and tools for modeling biomass pyrolysis /		Blake R. Hough.	"Hough, Blake R.,author."		Ph. D.	University of Washington	2016	161021t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 184 pages) :"	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/37051	960979171
Mineralization of titania with sfGFP-Car9 variants /		ChiaWei Hsu.	"Hsu, ChiaWei,1992-author."		M.S. Ch. E.	University of Washington	2017	170918t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (40 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/39974	1004241058
Orthogonal collocation on finite element method for driven cavity flow /		Taejin Jang.	"Jang, Taejin,author."		M.S. Ch. E.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (iii, 39 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/40512	1014345591
Experimental and computational study of structure and dynamics of bulk conjugated polymer systems /		Kiran H. Kanekal.	"Kanekal, Kiran H.,author."		M.S. Ch. E.	University of Washington	2016	170405t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 113 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/38081	981492620
Synthesis and surface engineering towards complex nanomaterials /		Ryan Kastilani.	"Kastilani, Ryan,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 170 unnumbered pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/44745	1128832866
Illuminating the potential of thin-film photovoltaics /		John K. Katahara.	"Katahara, John K.,1988-author."		Ph. D.	University of Washington	2017	170531t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 110) :"	"Hillhouse, Hugh W.,1972-degree supervisor."	http://hdl.handle.net/1773/38590	988540580
Isotachophoresis enhanced point-of-care immunoassays for clinical diagnostics /		Gary J. Kerr.	"Kerr, Gary J.,author."		Ph. D.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 99 pages) :"	"Posner, Jonathan Dov,degree supervisor."	http://hdl.handle.net/1773/40513	1014345476
Fluorination of polylactides as a path to enhanced hemocompatibility /		Razieh Khalifehzadeh.	"Khalifehzadeh, Razieh,author."		Ph. D.	University of Washington	2018	190130t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 173 pages) :"	"Ratner, B. D.(Buddy D.),1947-degree supervisor."	http://hdl.handle.net/1773/42992	1083643969
Studies and optimization of all-polymer solar cells based on naphthalene diimide-biselenophene copolymer acceptors /		Hyunjong Lee.	"Lee, Hyunjong,1990-author."		"M.S. Ch. E.,"	University of Washington	2018	190130t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (90 pages) :	"Jenekhe, Samson A.,degree supervisor."	http://hdl.handle.net/1773/42991	1083644054
Integrating energy storage systems into renewable grid applications :	a model-based approach /	Seong Beom Lee.	"Lee, Seongbeom,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 128 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/44739	1128832922
A comparative sudy of copper chalcogenide nanocrystals as agents for photothermal therapy /		Soohyung Lee.	"Lee, Soohyung,1989-author."		M.S. Ch. E.	University of Washington	2016	161130t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 40 pages) :"	"Holmberg, Vincent Carl,degree supervisor."	http://hdl.handle.net/1773/37052	964633550
Unravelling synthesis and transport phenomena in emulsion systems with small angle scattering /		Yi-Ting Lee.	"Lee, Yi-Ting,1987-author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (xvi, 193 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/44741	1128832822
Develop a supercapacitor real time model for PHIL simulation /		Baochen Li.	"Li, Baochen,1994-author."		M.S. Ch. E.	University of Washington	2019	190923t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (29 pages) :	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/44100	1120724225
"Solvent effect on morphological, crystalline and electronic properties of triple-cation lead-tin double-halide perovskite thin films and their air stability /"		Yi-Yu Lin.	"Lin, Yi-Yu,1994-author."		M.S. Ch. E.	University of Washington	2018	181205t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 56 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/42229	1077777501
Development of mixed-charge EK polypeptides for protein protection /		Erik Jerry Liu.	"Liu, Erik Jerry,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 99 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/44102	1117715903
Cyclic stiffness photomodulation of cell-laden protein-polymer hydrogels /		Luman Liu.	"Liu, Luman,author."		M.S.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (iii, 25 pages) :"	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/40508	1014345474
