245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A history of banking regulation in Washington."			"Knight, Neil Roy."	"M.A."	"University of Washington"		"890530s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 158 leaves"			"19783732"
"Bank accounting in Japan ..."			"Kondo, Tokuo."	"M.B.A."	"University of Washington"		"890621s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 137 pages"			"19905802"
"Treatment of the asset goodwill in accounting practice ..."			"Kongsle, Edward."				"960925s1922\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"35632612"
"Some legal aspects of estate accounting ..."			"Lei, Cheuk Lam."	"M.B.A."	"University of Washington"		"890613s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 66 leaves"			"19860795"
"The rayon industry and its international aspects."			"Lindahl, Martin L.(Martin Leroy),1903-1987."				"961030s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"101 [3] leaves"			"35819327"
"Douglas fir prices ..."			"MacKenzie, Donald Hector."				"961014s1925\\\\xx\ad\\\\bm\\\000\0\eng\d"	"124 leaves"			"35732893"
"Bases and trends of Japan's industries and trade ..."			"Maikawa, Hiroshi."	"M.B.A."	"University of Washington"		"890804s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"116 leaves"			"20124534"
"A system of accounts for retail department stores ..."			"McGirr, Horace Donald."	"M.B.A."	"University of Washington"		"890731s1922\\\\xx\k\\\\\bm\\\000\0\eng\d"	"88 leaves"			"20100774"
"An investigation of the depreciation of office buildings ..."			"McIntyre, Harry John."				"961002s1923\\\\xx\ef\\\\bm\\\000\0\eng\d"	"77 [2] leaves"			"35671756"
"The present legal control of consumption in the United States by the federal and state governments ..."			"McKellar, Pierre Archibald."	"M.B.A."	"University of Washington"		"890623s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"167 leaves"			"19915626"
"A statistical history of manufacturing in the state of Washington from 1860 to 1923 ..."			"Miller, Charles John."	"M.B.A."	"University of Washington"		"890804s1927\\\\xx\bd\\\\bm\\\000\0\eng\d"	"141 leaves"			"20125728"
"The expansion of public work during a period of depression to stabilize industry and employment ..."			"Mund, Vernon A.(Vernon Arthur),1906-1993."	"M.B.A."	"University of Washington"		"890623s1929\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"19915804"
"A brief history of accountancy ..."			"Nadeau, Flora Louise."	"M.B.A."	"University of Washington"		"890727s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"99 leaves"			"20079274"
"Distribution of food products in Pierce County with special reference to chain store competition ..."			"Phillips, Harrison Nye."	"M.B.A."	"University of Washington"		"890606s1930\\\\xx\ab\\\\bm\\\000\0\eng\d"	"59 leaves"			"19821767"
"The trend of Alaskan commerce through the port of Seattle ..."			"Rodman, Margaret Catharine."	"Ph. D."	"University of Washington"		"890601s1930\\\\xx\\\\\\\bm\\\000\0\eng\d"	"136 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:EP26403"	"19792949"
"The open price plan"	"a constructive criticism of competition."		"Rowntree, R. Henry(Richardson Henry),1901-"				"961030s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"91 [8] leaves"			"35819050"
"Competition and monopoly"	"a genetic study in economic theory ..."		"Russell, William Alexis."				"961016s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"102, III L"			"35749244"
