245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Mechanical refrigeration as applied to household refrigerators."			"Hoard, Richard James."	"B.S.M.E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iv, 70 leaves"			"228408769"
"Skyline logging systems of Puget Sound region of Washington state,"		"by Oscar Marlow Howard, junior."	"Howard, Oscar Marlow."				"810429s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"58 leaves"			"7375751"
"Progress in smoke abatement."			"Howell, Robert Philip."	"B.S. in M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iv, 88 leaves"			"228409852"
"Design, construction, and testing of a domestic coal stoker."			"Johnson, George Meder."	"B.S.M.E."	"University of Washington"		"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 19 leaves"			"228409375"
"Carburetor adjustment by exhaust gas analysis."			"Jonasson, Carl William."	"B.S.M.E."	"University of Washington"	"1934"	"080520s1934\\\\xx\\\\\\\m\\\\000\0\eng\d"	"iii, 36 leaves"			"228409861"
"Rebonding of foundry molding sand."			"Jones, Russell Knapp."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"21 leaves"			"228409039"
"Study of the characteristics of pressure atomization in carburetion."			"Kahan, Charles."	"B.S. in M.E."	"University of Washington"		"080520s1933\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 24 leaves"			"228409860"
"Hydrostatic pressure charge indicator for storage batteries."			"Knisely, James Dan."	"B.S. in M.E."	"University of Washington"		"080520s1937\\\\xx\\\\\\\m\\\\000\0\eng\d"	"25 leaves"			"228409768"
"Observations on the performance of metallic arc welding equipment."			"La Motte, Owen Garth."	"B.S. in M.E."	"University of Washington"		"080520s1936\\\\xx\\\\\\\m\\\\000\0\eng\d"	"ii, 19 leaves"			"228409041"
"Investigation of the variation in fuel economy of an automobile engine with changes of compression ratios, carburetors, and gasolines."			"Lindblom, Reuben Cecil."	"B.S. in M.E."	"University of Washington"		"080520s1933\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"228409859"
"Machining characteristics of graphite/epoxy composite /"		"by Duck Hyun Wang."	"Wang, Duck Hyun."	"Ph. D."	"University of Washington"	"1993"	"940228s1993\\\\xx\a\\\\\bmt\\000\0\eng\d"	"xii, 209 leaves :"		"http://hdl.handle.net/1773/7115"	"29883686"
"Surface contour and thickness measurements of articular cartilage using an A-scan acoustic technique /"		"by Alexander Wilson."	"Wilson, Alexander."	"M.S.M.E."	"University of Washington"	"1993"	"940228s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 82 leaves :"			"29883650"
"Time dependent behavior of microcellular polycarbonate /"		"by Gregory T. Wing."	"Wing, Gregory T."	"M.S.M.E."	"University of Washington"	"1993"	"940228s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 100 leaves :"			"29884320"
"An interactive synthesis program for watersport craft design /"		"by Patricia L. Wood."	"Wood, Patricia L."	"M.S.M.E."	"University of Washington"	"1992"	"930621s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 175 leaves :"			"28306015"
"Fracture process zone of brittle composites /"		"by Chang-Te Yu."	"Yu, Chang-Te."	"Ph. D."	"University of Washington"	"1992"	"930628s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 195 leaves :"			"28348077"
"Fractographic investigation of aluminum alloys and their composites by scanning electron microscopy /"		"Michael F. Allen."	"Allen, Michael F.(Michael Fredrick)"	"M.S.E."	"University of Washington"	"1994"	"950329s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 142 leaves :"			"32223378"
"Two-axis contact force and displacement control /"		"Michael S. Allen."	"Allen, Michael S.(Michael Sean)"	"M.S.M.E."	"University of Washington"	"1995"	"960627s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 68 leaves :"			"34998449"
"An investigation of fuzzy logic for controlling the thermal comfort in a space /"		"Ashraf Y. Awad."	"Awad, Ashraf Y."	"M.S.M.E."	"University of Washington"	"1994"	"940728s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 118 leaves :"			"30843314"
"Deviation terms of the conditional moment closure model for incompressible isothermal turbulent reacting flow /"		"by Ronald Bardell."	"Bardell, Ronald."	"M.S.M.E."	"University of Washington"	"1994"	"950130s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 20, [2] leaves :"			"31907073"
