245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Exploring graph perception with an automated user interface research tool /"		"by Suzanne Weghorst."	"Weghorst, Suzanne."	"M.S."	"University of Washington"	"1989"	"900802s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 131 leaves :"			"22172242"
"UWPI, a system to automatically construct illustrated programs /"		"by Kenneth M. Whaley."	"Whaley, Kenneth M."	"M.S."	"University of Washington"	"1989"	"900808s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 61 leaves :"			"22197281"
"Generic software configuration management :"	"theory and design /"	"by Douglas Wiebe."	"Wiebe, Douglas,1957-"	"Ph. D."	"University of Washington"	"1990"	"901025s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 281 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9026033"	"22586439"
"Hierarchical constraint logic programming /"		"by Molly Ann Wilson."	"Wilson, Molly Ann,1956-"	"Ph. D."	"University of Washington"	"1993"	"940316s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 111 leaves :"			"29977308"
"Performance study on non-blocking synchronization /"		"by Eric S. Winkelman."	"Winkelman, Eric S."	"M.S."	"University of Washington"	"1991"	"920311s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 39, [1] leaves :"			"25460453"
"A graphical programming environment with pictorial representations of logical axioms /"		"by Chun-Fu Ricky Yeung."	"Yeung, Chun-Fu Ricky,1961-"	"Ph. D."	"University of Washington"	"1989"	"900806s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 150 leaves :"			"22188922"
"Illumination control expert for machine vision :"	"a goal driven approach /"	"by Seungku Yi."	"Yi, Seungku,1955-"	"Ph. D."	"University of Washington"	"1990"	"901025s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xix, 298 leaves :"			"22586422"
"Relaxed consistency and synchronization in parallel processors /"		"by Richard N. Zucker."	"Zucker, Richard N."	"Ph. D."	"University of Washington"	"1992"	"930630s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 145 leaves :"			"28360355"
"Role oriented programming for software evolution /"		"by Michael VanHilst."	"VanHilst, Michael,1953-"	"Ph. D."	"University of Washington"	"1997"	"981021s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 205 pages :"		"http://hdl.handle.net/1773/6966"	"40147196"
"Optimization of linear max-plus systems with application to timing analysis /"		"by Elizabeth A. Walkup."	"Walkup, Elizabeth A."	"Ph. D."	"University of Washington"	"1995"	"960816s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 169 pages :"			"35253184"
"Machine-independent compiler optimizations for collective communication /"		"Wilbert D. Weathersby."	"Weathersby, Wilbert D.(Wilbert Derrick),1966-"	"Ph. D."	"University of Washington"	"1999"	"000509s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 185 pages :"		"http://hdl.handle.net/1773/6944;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944194"	"44013340"
