245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Crust and mantle structure of the north Cascades Range, Washington /"		"by Alan Charles Rohay."	"Rohay, Alan Charles,1952-"	"Ph. D."	"University of Washington"	"1982"	"820712s1982\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 163 leaves :"			"8593219"
"A gravity study of the Chiwaukum Graben, Washington /"		"by Rose Mary Silling."	"Silling, Rose Mary."	"M.S."	"University of Washington"	"1979"	"790510s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 100 leaves :"			"4948824"
"A study of the equatorward diffuse aurora /"		"by Donald Wayne Slater."	"Slater, Donald Wayne."	"M.S."	"University of Washington"		"890602s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 138 leaves :"			"19803848"
"A multi-wavelength distance-measuring instrument for geophysical experiments."			"Slater, Larry Edward."	"Ph. D."	"University of Washington"		"890602s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19803969"
"An observational study of planetary wave propagation in the winter stratosphere /"		"by Anne Kidder Smith."	"Smith, Anne Kidder."	"Ph. D."	"University of Washington"	"1982"	"820712s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 160 leaves :"			"8593225"
"Some applications of magnetic resonance spectroscopy to rock magnetism /"		"by Guy Michael Smith."	"Smith, Guy Michael."	"Ph. D."	"University of Washington"	"1981"	"811211s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"xi, 270 leaves, 82 unnumbered leaves of plates :"			"7988908"
"Simultaneous inversion of seismic travel-times and amplitudes /"		"by William Edward Snydsman."	"Snydsman, William Edward."		"University of Washington"		"890518s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 102 leaves :"			"19730004"
"Continuous observations of the structural changes in deforming polycrystalline ice."			"Sprenger, Robert Merwarth."	"M.S."	"University of Washington"		"890512s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19696948"
"An inverse technique for determination of mean ocean circulation /"		"by Karl Chris Stengel."	"Stengel, Karl Chris."	"Ph. D."	"University of Washington"	"1981"	"810610s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 260 leaves :"			"7492847"
"Onset of convection in a variable viscosity fluid."			"Stengel, Karl Chris."	"M.S."	"University of Washington"		"890512s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"179 leaves"			"19697125"
"Experimental deformation of the granodioritic material composing the Mount Stuart Batholith in the vicinity of Stevens Pass."			"Stottlemyre, James Arthur."	"M.S."	"University of Washington"		"890512s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"53 leaves"			"19696972"
"An investigation of sand and sandstone permeability degradation at elevated temperature and pressure /"		"by James Arthur Stottlemyre."	"Stottlemyre, James Arthur."	"Ph. D."	"University of Washington"	"1981"	"810723s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 168 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8121249"	"7608087"
"Crustal structure near the Iceland Research Drilling Project borehole from a seismic refraction survey /"		"by William Hayes Thomson."	"Thomson, William Hayes."	"M.S."	"University of Washington"		"800425s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 67 leaves :"			"6246265"
"Special features of two-dimensional flow fields and their evolution in time /"		"Alan S. Thorndike."	"Thorndike, A. S.(Alan S.)"	"Ph. D."	"University of Washington"		"890818s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves :"			"20211822"
"The propagation of stoneley waves in unconsolidated marine sediments /"		"by Jonathan Dale Tuthill."	"Tuthill, Jonathan Dale."	"M.S."	"University of Washington"		"800819s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 103 leaves, 31 unnumbered leaves of plates :"			"6634926"
"Forbidden 5200 Å emission by atomic nitrogen in a mid latitude aurora /"		"by Thomas C. Washington Tyler."	"Tyler, Thomas C. Washington."	"Ph. D."	"University of Washington"	"1981"	"811029s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 132 leaves :"			"7890485"
"Relocations of some seismic events in the Pugent Sound area, 1951-1968."			"Vance, Dana Joslyn."	"M.S."	"University of Washington"		"890512s1970\\\\xx\ab\\\\bm\\\000\0\eng\d"	"55 leaves"			"19699963"
"Measurement of backscatter and total scatter of the atmospheric aerosol at 694nm."			"Waggoner, Alan Peacock,1941-"	"Ph. D."	"University of Washington"		"890502s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19643307"
"Seismic events on Cascade volcanoes."			"Weaver, Craig Steven."	"Ph. D."	"University of Washington"		"890818s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"150 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7620736"	"20211802"
"ELF emissions during relativistic electron precipitation in the auroral zone /"		"by Raymond Henry West."	"West, Raymond Henry."	"Ph. D."	"University of Washington"	"1982"	"820330s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 191 leaves :"			"8290061"
"Paleomagnetism and rock magnetism of the cretaceous Black Peak batholith, North Cascades, Washington."			"Whitney, John W.(John Wallis)"	"Ph. D."	"University of Washington"		"890502s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"145 leaves"			"19643520"
"Marine geophysical studies offshore Cape Flattery, Washington and the implications for regional tectonics."			"Wissmann, Gerd."	"M.S."	"University of Washington"		"890502s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19643426"
"A determination of the velocity of the uppermost oceanic crust /"		"by Paul Kwok-Ting Wong."	"Wong, Paul Kwok-Ting."	"M.S."	"University of Washington"	"1981"	"810408s1981\\\\xx\abf\\\bm\\\000\0\eng\d"	"iv, 66 leaves, 29 unnumbered leaves of plates :"			"7317184"
"Inversion of traveltime data for seismic velocity structure in three dimensions."			"Wu, Joyce Chee."	"Ph. D."	"University of Washington"		"890512s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19700481"
"Mechanism of the 1927 Lompoc earthquake from surface waves analysis."			"Yeh, Huey-Ching."	"M.S."	"University of Washington"		"890512s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19700439"
"The Seattle earthquake swarms and Puget basin focal mechanisms and their tectonic implications /"		"by Thomas Sidney Yelin."	"Yelin, Thomas Sidney."	"M.S."	"University of Washington"	"1982"	"821011s1982\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 96 leaves, 6 unnumbered leaves of plates :"			"8848744"
"A simulation of the chemistry and emissions of excited NO+ in auroras /"		"Eugene Raymond Young."	"Young, Eugene Raymond."	"Ph. D."	"University of Washington"		"890512s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"284 leaves :"			"19700977"
"A study of inverse Q as a function of depth in western Washington /"		"by William O'Neill Zitek."	"Zitek, William O'Neill."	"M.S."	"University of Washington"	"1982"	"820519s1982\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 87 leaves :"			"8441950"
"A time term analysis of Pn velocities in Washington /"		"by Chris Eugene Zervas."	"Zervas, Chris Eugene,1957-"	"M.S."	"University of Washington"	"1984"	"841102s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 134 leaves :"			"11340535"
"Three-dimensional electromagnetic induction in a spherical Earth /"		"by Tian shan Zhang."	"Zhang, Tian shan."	"Ph. D."	"University of Washington"	"1991"	"920722s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 169 leaves :"			"26237203"
"Plasma kinetic effects on the dynamics of the earth's magnetotail /"		"by Zhongwei Zhu."	"Zhu, Zhongwei."	"Ph. D."	"University of Washington"	"1994"	"950721s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 120 leaves :"			"32860628"
"Spontaneous earthquake rupture simulated by a finite element code using variable fracture energy absorption /"		"by Hannes George Zürcher."	"Zürcher, Hannes George."	"Ph. D."	"University of Washington"	"1985"	"850805s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 265 leaves, 11 unnumbered leaves of plates :"			"12349109"
"The relation between surface and basal velocity variations in glacier, with application to the mini-surges of variegated glacier /"		"by Michael John Balise."	"Balise, Michael John."	"Ph. D."	"University of Washington"	"1988"	"880616s1988\\\\xx\a\\\\\bmt\\000\0\eng\d"	"xvii, 205 leaves :"		"http://hdl.handle.net/1773/6846"	"18097912"
"A source model for low frequency volcanic earthquakes /"		"by Dorthe Ann Bame."	"Bame, Dorthe Ann."	"M.S."	"University of Washington"	"1984"	"850116s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 95 leaves :"			"11585499"
"Magma body geometry at Mount St. Helens inferred from the stress field associated with post-eruptive earthquakes /"		"by Sally E. Barker."	"Barker, Sally E."	"M.S."	"University of Washington"	"1988"	"890731s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 76 leaves :"			"20103325"
"The relation of earthquake intensity to surface geology and elevation in western Washington state /"		"by Tom R. Bodle."	"Bodle, Tom R."	"M.S."	"University of Washington"	"1990"	"910305s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 119 leaves :"			"23190884"
"Shock-wave experiments and electronic band-structure calculations of materials at high temperature and pressure /"		"by David A. Boness."	"Boness, David A."	"Ph. D."	"University of Washington"	"1991"	"920501s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 256 leaves :"			"25749838"
