245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The methods of madness :"	"insanity as metaphor in five modern novels /"	"by Linda Bell Spoerl."	"Spoerl, Linda Bell."	"Ph. D."	"University of Washington"	"1983"	"840222s1983\\\\xx\\\\\\\bmt\\000\0\eng\d"	"199 leaves "		"http://hdl.handle.net/1773/6655"	"10443195"
"The prismatic sensibility"	"Henry James and Anton Cexov as impressionists."		"Stowell, H. Peter,1939-"	"Ph. D."	"University of Washington"		"890510s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"274 leaves"			"19686697"
"The new myth of organicism :"	"recreation of self and society in eighteenth century philosophy and aesthetic theory /"	"by Thomas William Strawman."	"Strawman, Thomas William."	"Ph. D."	"University of Washington"	"1986"	"870327s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"248 leaves "			"15384732"
"Directing shadows :"	"drama and psychodrama in Shaffer's Equus, Arrabal's L'Architecte et l'Empereur d'Assyrie, and Weiss' Marar/Sade /"	"by Dianne Taylor-William."	"Taylor-William, Dianne."	"Ph. D."	"University of Washington"	"1981"	"810624s1981\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 182 leaves :"			"7525599"
"Huang Tʻing-chien (1045-1105) and the use of tradition."			"Tiang, Seng-yong,1941-"	"Ph. D."	"University of Washington"		"890511s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"206 leaves"		"http://hdl.handle.net/1773/6660;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7700626"	"19691424"
"Emily Dickinson and Annette von Droste-Hülshoff :"	"poets as women /"	"by Edith Maria Toegel."	"Toegel, Edith."	"Ph. D."	"University of Washington"	"1980"	"810203s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"II, 169 leaves "			"7099912"
"European symbolist theater :"	"conventions and innovations /"	"by Keith Owen Tribble."	"Tribble, Keith Owen,1948-"	"Ph. D."	"University of Washington"	"1990"	"910520s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"3 volumes (vi, 1424 leaves) :"		"http://hdl.handle.net/1773/6647;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9117991"	"23808185"
"Mythopoesis historicized :"	"Qu Yuan's poetry and its legacy /"	"by Chen-chen Tseng."	"Tseng, Chen-chen."	"Ph. D."	"University of Washington"	"1992"	"930706s1992\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 314 leaves "		"http://hdl.handle.net/1773/6688"	"28385049"
"The Swedish folktale"	"a structural analysis."		"Vehvilainen, Paul Veikko,1930-"	"Ph. D."	"University of Washington"		"890713s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"202 leaves"			"20002730"
"Kierkegaard and the dialectics of Modernism /"		"by Jorgen Steen Veisland."	"Veisland, Jørgen S.,1943-"	"Ph. D."	"University of Washington"	"1982"	"820513s1982\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 250 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8212643"	"8423484"
"The life of Martin of Tours, soldier and saint :"	"a comparative study of literary form /"	"by William Harold Vermillion."	"Vermillion, William Harold."		"University of Washington"		"801021s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 200 leaves "			"6846652"
"The moment :"	"a history, typology and theory of the moment in philosophy and literature /"	"by Thomas Waegenbaur."	"Waegenbaur, Thomas."	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 681 leaves :"			"24224636"
"Classicism in Aristotle's Poetics and Liu Xie's Wenxin diaolong /"		"by Peter B. Way."	"Way, Peter B."	"Ph. D."	"University of Washington"	"1990"	"910730s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"iii, 476 leaves :"		"http://hdl.handle.net/1773/6633;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9109836"	"24155412"
"The role of Greek antiquity in Russian symbolist theory /"		"by Mary Jo White."	"White, Mary Jo."	"Ph. D."	"University of Washington"	"1992"	"920916s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 190 leaves :"			"26614882"
"Johannes V. Jensen's concept of America."			"Wiehl, Inga Wolfsberg,1936-"	"Ph. D."	"University of Washington"		"890524s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"235 leaves"			"19756761"
"History, identity, and representation in recent German-language autobiographical novels /"		"by Gretchen Wiesehan."	"Wiesehan, Gretchen."	"Ph. D."	"University of Washington"	"1992"	"920917s1992\\\\xx\\\\\\\bmt\\000\0\eng\d"	"ii, 230 leaves "		"http://hdl.handle.net/1773/6653"	"26621176"
"Murdered sleep :"	"crime and aesthetics in France and England, 1850-1910 /"	"by James Winchell."	"Winchell, James."	"Ph. D."	"University of Washington"	"1988"	"880907s1988\\\\xx\a\\\\\bmt\\000\0\eng\d"	"iii, 413 leaves :"		"http://hdl.handle.net/1773/6615;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8820450"	"18452528"
"Schlegelian traces in early nineteenth century American literature /"		"by Carola E. Wittmann."	"Wittmann, Carola E."	"Ph. D."	"University of Washington"	"1990"	"910816s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 174 leaves "			"24244327"
"Baroque as a period style of mid-late T'ang poetry /"		"by Tak-wai Wong."	"Wong, Tak-Wai."		"University of Washington"		"800430s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 452 leaves "			"6263992"
"The power to tell :"	"narrative voice in self-reflexive fiction /"	"by Deborah Anne Woolley."	"Woolley, Deborah Anne."	"Ph. D."	"University of Washington"	"1981"	"820224s1981\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 290 leaves "			"8189452"
