245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Computer use and anthropometry :"	"effects of cumulative exposure on measures of activity /"	"Sashidharan Komandur."	"Komandur, Sashidharan."	"Ph. D."	"University of Washington"	"2009"	"100429s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 215 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377309"	"610036054"
"Inventory management support systems for emergency humanitarian relief operations /"		"Stephen Kotleba."	"Kotleba, Stephen."	"M.S.I.E."	"University of Washington"	"2005"	"060103s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 142 leaves :"			"62769838"
"Complex adaptive food supply systems /"		"Caroline C. Krejci."	"Krejci, Caroline C.,author."	"Ph. D."	"University of Washington"	"2013."	"140626t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 171 pages) :"	"Beamon, Benita M.,1966-degree supervisor."	"http://hdl.handle.net/1773/24976"	"881828660"
"Hierarchical modeling approach to improve factory operations in semiconductor manufacturing /"		"Naveen Kumar."	"Kumar, Naveen,1974-"	"Ph. D."	"University of Washington"	"2006"	"070126s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 123 leaves :"			"80196711"
"Incorporating uncertainty into a multicriteria supplier selection problem /"		"Lei Li."	"Li, Lei,1973-"	"Ph. D."	"University of Washington"	"2007"	"080819s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 89 leaves :"		"http://hdl.handle.net/1773/10679;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3290559"	"244109753"
"Optimizing hepatitis C birth-cohort screening and treatment allocation strategy /"		"Yuankun Li."	"Li, Yuankun,1990-author."	"M.S.I.E."	"University of Washington"	"2015"	"160411t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 60 pages) :"	"Liu, Shan(Health engineer),degree supervisor."	"http://hdl.handle.net/1773/35230"	"946449547"
"Customer-centric reliability measures based on fuzzy set theory /"		"Zhaojun (Steven) Li."	"Li, Zhaojun,1976-"	"Ph. D."	"University of Washington"	"2011"	"120702s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 122 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501570"	"797981711"
"Complex system modeling for hospital-associated infection transmission in pediatric ICUs /"		"Shreyas Subhash Limaye."	"Limaye, Shreyas Subhash."	"Ph. D."	"University of Washington"	"2009"	"091006s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 188 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3356619"	"450014829"
"Enhancement of user-experiences in immersive virtual environments that employ wide-field displays /"		"Jeng-Weei James Lin."	"Lin, Jeng-Weei James."	"Ph. D."	"University of Washington"	"2004"	"050406s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 190 leaves :"		"http://hdl.handle.net/1773/10680;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139502"	"58810129"
"An optimal control approach to solving binary integer programs /"		"Jana E. Littleton."	"Littleton, Jana E."	"M.S.I.E."	"University of Washington"	"2005"	"060103s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 71 pages :"			"62769440"
