245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Factors conditioning and impeding tribal leaders in their communications with state governing officials /"		"Virginia Ith."	"Ith, Virginia."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080624s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 77 leaves "			"232579627"
"The feminine ideal in magazines /"		"Holly Jensen."	"Jensen, Holly."	"M.A."	"University of Washington, Tacoma"	"2003"	"030708s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 34 leaves :"			"52572116"
"Social constructionism and the crack mother image :"	"a critical analysis of politics, economics, race, gender, and crack cocaine /"	"Lezlie Johnson."	"Johnson, Lezlie."	"M.A."	"University of Washington"	"2005"	"060217s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 65 leaves "			"64038415"
"A sense of place, a sense of self :"	"campus sacred space & student spiritual identity development : from a human services perspective, informed by geographic thought /"	"Judith Johnston."	"Johnston, Judith,1966-"	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"111201s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 70 leaves :"			"765392309"
"A synthesis of the ""emerging adulthood"" concept in contemporary human development theory /"		"Dena Jones."	"Jones, Dena,1957-author."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"111115s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 54 leaves "			"761033637"
"The future of the United States Presidential nominating process /"		"Tamara Marie Jones."	"Jones, Tamara Marie."	"M.A.I.S."	"University of Washington"	"2010"	"110216s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves, 20 leaves :"			"702135113"
"Carbon control in the United States :"	"impacts and implications of state-level climate change mitigation and energy efficiency policies /"	"Jonna Kalar."	"Kalar, Jonna."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"111108s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 61 leaves :"			"759992450"
"The Kennewick Man controversy :"	"co-evolution of cultural identity using cultural resources /"	"Sarah Hawes Kimsey."	"Kimsey, Sarah Hawes."	"M.A."	"University of Washington, Tacoma"	"2004"	"050509s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 48 leaves :"			"60329333"
"Geology and cobblestone architecture in the Northwest /"		"David A. Knoblach."	"Knoblach, David A."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070919s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 47 leaves :"			"173155267"
"Closing the achievement gap of Hispanics in Washington State through quality education, equal treatment, and justice /"		"Yris Lance."	"Lance, Yris."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080212s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 164 leaves :"			"191956135"
"Indelible imagery /"		"Liberty Renee Laskowski."	"Laskowski, Liberty Renee."	"M.A."	"University of Washington"	"2003"	"031216s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 53 leaves :"			"53917353"
"Substance behind the gloss :"	"women's magazines & feminist issues, 1970-2000 /"	"Kelly A. Lenard."	"Lenard, Kelly A."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"081119s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 68 leaves "			"274160976"
"From afterthought to urgent priority :"	"abstinence education and the problem of teen pregnancy /"	"Jonathan Heidrich Lindsay."	"Lindsay, Jonathan Heidrich."	"M.A."	"University of Washington"	"2004"	"050224s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 65 leaves :"			"57728800"
"Child soldiers of Africa :"	"how small arms/light weapons proliferation creates the enabling environment for children to be recruited as soldiers /"	"Baboucarr Lowe."	"Lowe, Baboucarr."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091204s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 77 leaves :"			"472656831"
"Cowboys and marshalls in the White House :"	"masculinity, Western iconography, and the American presidency /"	"Meredith A. Lynch."	"Lynch, Meredith A."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070924s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 83 leaves "			"173259886"
